"baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl","symbol"
6257.30195407139,6.77628953944338,0.238055432761283,8.56935485495376e-181,3.531516829275e-176,"ENSG00000147689","FAM83A"
3613.05367444914,3.70376116473157,0.13201968279451,1.1791402501229e-169,2.42967744239074e-165,"ENSG00000183010","PYCR1"
1098.83383385985,-2.11584477055657,0.0812310697389625,5.70074876217735e-150,7.83111857460303e-146,"ENSG00000165312","OTUD1"
2784.3455779061,6.28628204040916,0.258977655114422,9.99395929286233e-133,1.02965264104537e-128,"ENSG00000272620","AFAP1-AS1"
26990.0058314036,-2.68954470736512,0.110244691710887,4.26010281333376e-132,3.51126194080595e-128,"ENSG00000116016","EPAS1"
805.366065920256,-3.05746948977785,0.125561082515575,2.78423999784592e-131,1.91235524252047e-127,"ENSG00000135604","STX11"
65.1126212449218,-2.71289824153866,0.111546197485283,4.67493916560497e-131,2.75227025648209e-127,"ENSG00000235387","SPAAR"
11808.3655007963,-2.29425667249598,0.0947118794419879,2.20658801008335e-130,1.13669623104431e-126,"ENSG00000261371","PECAM1"
1973.14047290279,3.83684636988309,0.159995135817033,1.24556666282932e-128,5.70344974909546e-125,"ENSG00000175832","ETV4"
266.941345941806,3.49919327748548,0.146816853296748,1.48065595008474e-127,6.10193123589424e-124,"ENSG00000162062","TEDC2"
1342.55466045067,3.60007071291668,0.15127686465027,3.66746513051439e-126,1.37399914085117e-122,"ENSG00000183856","IQGAP3"
5264.42818108063,3.85730425491269,0.160760009278604,9.04725943138978e-126,3.10705507022504e-122,"ENSG00000131747","TOP2A"
1756.30313228874,-2.8464977003067,0.120236798480558,3.167106664246e-124,1.00399717492494e-120,"ENSG00000170989","S1PR1"
209.595214859247,6.59749941369378,0.279830488288936,5.70034383846765e-124,1.67797764233636e-120,"ENSG00000204949","FAM83A-AS1"
2090.66630471529,4.33263093740625,0.184822413696478,1.84387421527105e-123,5.0658600190357e-120,"ENSG00000179913","B3GNT3"
3345.85332345736,-2.86528420540142,0.122304836881747,1.87278954583137e-122,4.82372062332855e-119,"ENSG00000102760","RGCC"
2206.41975167903,-2.56077409004151,0.109192395695467,3.98870179490025e-122,9.66931703939026e-119,"ENSG00000139567","ACVRL1"
14431.4513827775,-2.7074840801761,0.117198521069312,6.5135900885094e-120,1.49128645076423e-116,"ENSG00000213853","EMP2"
706.070423949245,-3.21856564957101,0.13868765917842,1.82175834620087e-119,3.9513938529097e-116,"ENSG00000010319","SEMA3G"
2068.93189877137,-4.05132469342692,0.175534936927249,4.60540969474832e-118,9.48967694651364e-115,"ENSG00000182010","RTKN2"
1283.2932846971,7.80572095066458,0.342445579858835,2.6333551153705e-117,5.16777131712066e-114,"ENSG00000286042","LCAL1"
941.959510289976,-3.24198425415767,0.141221246325765,5.41211999989181e-117,1.01381307870701e-113,"ENSG00000120156","TEK"
446.473026079696,3.78326583829783,0.166391294143043,1.52473318617078e-116,2.73199040588192e-113,"ENSG00000186193","SAPCD2"
1153.60115831281,-2.44034841885965,0.106928916333455,1.00406558782216e-115,1.72410612248912e-112,"ENSG00000070778","PTPN21"
1094.85507128462,-3.22044329717507,0.141851552449306,1.86857947942132e-114,3.08024115705729e-111,"ENSG00000122679","RAMP3"
839.020697364044,3.80983995913176,0.167912347110209,3.25304310964966e-114,5.15619844583739e-111,"ENSG00000090889","KIF4A"
826.416831459081,3.30300082995596,0.147402123214683,3.13127414697321e-112,4.77936810633011e-109,"ENSG00000077152","UBE2T"
424.634229339175,-2.78783946833179,0.124123446891293,4.23531895570255e-112,6.23363319583778e-109,"ENSG00000132622","HSPA12B"
6105.86885340633,-2.5024471100104,0.111650422215722,1.01772209043777e-111,1.44625327824244e-108,"ENSG00000157654","PALM2AKAP2"
1302.82024921684,4.15597486881918,0.186416104467583,2.747827037261e-111,3.77469000108543e-108,"ENSG00000254726","MEX3A"
1698.05849071651,-4.5396543480761,0.202826918264249,5.01071893400064e-111,6.66118509642259e-108,"ENSG00000168309","FAM107A"
7890.96644432343,5.54711875194612,0.251307566658233,6.25494661720352e-110,8.0553939075492e-107,"ENSG00000143320","CRABP2"
742.546244868252,3.43988230154904,0.156652256131866,5.32349761864134e-109,6.6480806170251e-106,"ENSG00000128165","ADM2"
5364.69617372533,4.79943498669795,0.21883137637685,1.32226438130876e-108,1.60270110053281e-105,"ENSG00000137648","TMPRSS4"
677.009333918192,3.71695580349707,0.169663501846984,2.96409524873618e-108,3.49009512273334e-105,"ENSG00000117650","NEK2"
908.480362879284,-2.86144308190912,0.129771318579743,4.02066177069857e-108,4.60265256200719e-105,"ENSG00000131477","RAMP2"
438.760025349104,3.73456659648158,0.170848287718497,4.3672529301517e-108,4.86429352714816e-105,"ENSG00000118193","KIF14"
